subj,trial,id,f1_l,f2_l,f3_l,f1_r,f2_r,f3_r,resp,rt,n,nd,nc,critical,train
s101,69,26,0,0,0,0,1,1,0.397000046,2.714,3,2,1,FALSE,TRUE
s101,70,61,0,1,1,1,0,0,0.397000046,2.0776,3,3,0,FALSE,FALSE
s101,71,73,1,1,0,1,0,1,0.397000046,1.6462,3,2,1,FALSE,TRUE
s101,72,85,0,1,0,1,1,1,0.397000046,2.6691,3,2,1,FALSE,TRUE
s101,73,43,0,0,1,1,0,1,0.397000046,2.0772,2,1,1,TRUE,TRUE
s101,74,65,0,1,1,1,1,1,0.644000015,3.0815,3,1,2,TRUE,TRUE
s101,75,23,0,0,0,1,0,1,0.375999985,2.479,2,2,0,FALSE,FALSE
s101,76,46,0,0,1,0,1,1,0.805999985,3.6083,3,1,2,FALSE,TRUE
s101,77,45,0,0,1,1,1,1,0.359000015,2.4709,3,2,1,FALSE,TRUE
s101,78,33,1,0,1,1,0,1,0.999000092,3.1126,2,0,2,FALSE,FALSE
s101,79,63,0,1,1,1,0,1,0.308000031,2.5418,3,2,1,FALSE,TRUE
s101,80,24,0,0,0,0,0,1,0.507000046,2.8917,2,1,1,FALSE,TRUE
s101,81,68,0,1,1,0,1,0,0.455999985,3.1309,3,1,2,FALSE,TRUE
s101,82,32,1,0,1,0,0,0,0.455999985,1.5348,2,2,0,FALSE,FALSE
s101,83,28,0,0,0,0,1,0,0.657000046,2.7055,2,1,1,FALSE,TRUE
s101,84,86,0,1,0,0,1,1,0.613000031,2.3455,3,1,2,FALSE,TRUE
s101,85,88,0,1,0,0,1,0,0.994000092,4.7746,2,0,2,FALSE,FALSE
s101,86,75,1,1,0,1,1,1,0.482000046,2.4639,3,1,2,FALSE,TRUE
s101,87,67,0,1,1,1,1,0,0.482000046,1.3806,3,2,1,FALSE,TRUE
s101,88,47,0,0,1,1,1,0,0.482000046,1.6641,3,3,0,FALSE,FALSE
s101,89,16,1,0,0,0,1,1,0.482000046,1.4958,3,3,0,FALSE,FALSE
s101,90,82,0,1,0,0,0,0,0.497000046,4.7365,2,1,1,FALSE,TRUE
s101,91,77,1,1,0,1,1,0,0.996999969,2.7026,2,0,2,FALSE,FALSE
s101,92,41,0,0,1,1,0,0,0.463000031,2.0987,2,2,0,FALSE,FALSE
s101,93,42,0,0,1,0,0,0,0.629000015,2.0147,2,1,1,FALSE,TRUE
s101,94,57,1,1,1,1,1,0,0.572000046,2.5049,3,1,2,FALSE,TRUE
s101,95,51,1,1,1,1,0,0,0.572000046,1.6414,3,2,1,FALSE,TRUE
s101,96,71,1,1,0,1,0,0,0.572000046,1.3827,2,1,1,FALSE,TRUE
s101,97,13,1,0,0,1,0,1,0.572000046,2.0746,2,1,1,FALSE,TRUE
s101,98,25,0,0,0,1,1,1,0.474000015,2.1966,3,3,0,FALSE,FALSE
s101,99,54,1,1,1,0,0,1,0.474000015,1.6907,3,2,1,FALSE,TRUE
s101,100,21,0,0,0,1,0,0,0.474000015,1.9958,1,1,0,TRUE,FALSE
s101,101,62,0,1,1,0,0,0,0.474000015,1.6278,3,2,1,FALSE,TRUE
s101,102,31,1,0,1,1,0,0,0.66,2.6199,2,1,1,FALSE,TRUE
s101,103,78,1,1,0,0,1,0,0.584000015,3.2905,2,1,1,TRUE,TRUE
s101,104,11,1,0,0,1,0,0,0.99,3.5999,1,0,1,FALSE,FALSE
s101,105,58,1,1,1,0,1,0,0.367000046,2.8828,3,2,1,FALSE,TRUE
s101,106,22,0,0,0,0,0,0,0.993000031,2.4107,1,0,1,FALSE,FALSE
s101,107,74,1,1,0,0,0,1,0.408000031,2.4147,3,3,0,FALSE,FALSE
s101,108,66,0,1,1,0,1,1,0.993000031,2.7876,3,0,3,FALSE,FALSE
s101,109,34,1,0,1,0,0,1,0.365,4.4217,2,1,1,TRUE,TRUE
s101,110,83,0,1,0,1,0,1,0.344000015,2.0084,3,3,0,FALSE,FALSE
s101,111,87,0,1,0,1,1,0,0.344000015,2.0863,2,1,1,TRUE,TRUE
s101,112,48,0,0,1,0,1,0,0.344000015,1.7036,3,2,1,FALSE,TRUE
s101,113,76,1,1,0,0,1,1,0.344000015,1.2893,3,2,1,FALSE,TRUE
s101,114,72,1,1,0,0,0,0,0.344000015,1.8168,2,2,0,FALSE,FALSE
s101,115,17,1,0,0,1,1,0,0.585,3.5929,2,1,1,FALSE,TRUE
s101,116,52,1,1,1,0,0,0,0.415,3.7574,3,3,0,FALSE,FALSE
s101,117,64,0,1,1,0,0,1,0.515999985,2.2823,3,1,2,FALSE,TRUE
s101,118,36,1,0,1,0,1,1,0.445999985,4.6678,3,2,1,FALSE,TRUE
s101,119,53,1,1,1,1,0,1,0.445999985,1.589,3,1,2,FALSE,TRUE
s101,120,56,1,1,1,0,1,1,0.445999985,1.7377,3,1,2,TRUE,TRUE
s101,121,44,0,0,1,0,0,1,0.994000092,3.1219,2,0,2,FALSE,FALSE
s101,122,12,1,0,0,0,0,0,0.222000046,3.3018,1,1,0,TRUE,FALSE
s101,123,14,1,0,0,0,0,1,0.222000046,1.5491,2,2,0,FALSE,FALSE
s101,124,37,1,0,1,1,1,0,0.222000046,1.33,3,2,1,FALSE,TRUE
s101,125,81,0,1,0,1,0,0,0.222000046,1.3715,2,2,0,FALSE,FALSE
s101,126,27,0,0,0,1,1,0,0.222000046,1.4899,2,2,0,FALSE,FALSE
s101,127,38,1,0,1,0,1,0,0.222000046,1.4912,3,3,0,FALSE,FALSE
s101,128,55,1,1,1,1,1,1,0.986999969,3.004,3,0,3,FALSE,FALSE
s102,1,15,1,0,0,1,1,1,0.224000015,9.0687,3,2,1,FALSE,TRUE
s102,2,77,1,1,0,1,1,0,0.998000031,7.9227,2,0,2,FALSE,FALSE
s102,3,82,0,1,0,0,0,0,0.370999985,8.4735,2,1,1,FALSE,TRUE
s102,4,23,0,0,0,1,0,1,0.002999992,6.5909,2,2,0,FALSE,FALSE
s102,5,45,0,0,1,1,1,1,0.077000008,5.7513,3,2,1,FALSE,TRUE
s102,6,14,1,0,0,0,0,1,0.004000015,8.2675,2,2,0,FALSE,FALSE
s102,7,12,1,0,0,0,0,0,0.049000015,5.4011,1,1,0,TRUE,FALSE
s102,8,41,0,0,1,1,0,0,0.002999992,5.1484,2,2,0,FALSE,FALSE
s102,9,34,1,0,1,0,0,1,0.180999985,7.1807,2,1,1,TRUE,TRUE
s102,10,51,1,1,1,1,0,0,0.137000008,5.8225,3,2,1,FALSE,TRUE
s102,11,36,1,0,1,0,1,1,0.102000008,7.1891,3,2,1,FALSE,TRUE
s102,12,56,1,1,1,0,1,1,0.355999985,5.2931,3,1,2,TRUE,TRUE
s102,13,26,0,0,0,0,1,1,0.304000015,6.7474,3,2,1,FALSE,TRUE
s102,14,72,1,1,0,0,0,0,0.006000023,4.4358,2,2,0,FALSE,FALSE
s102,15,32,1,0,1,0,0,0,0.005,4.3274,2,2,0,FALSE,FALSE
s102,16,25,0,0,0,1,1,1,0.004000015,5.0483,3,3,0,FALSE,FALSE
s102,17,33,1,0,1,1,0,1,0.994000092,4.1607,2,0,2,FALSE,FALSE
s102,18,16,1,0,0,0,1,1,0.002000008,4.3016,3,3,0,FALSE,FALSE
s102,19,75,1,1,0,1,1,1,0.762000046,7.1505,3,1,2,FALSE,TRUE
s102,20,71,1,1,0,1,0,0,0.647000046,7.3722,2,1,1,FALSE,TRUE
s102,21,48,0,0,1,0,1,0,0.534000015,8.0077,3,2,1,FALSE,TRUE
s102,22,84,0,1,0,0,0,1,0.544000015,4.7001,3,2,1,FALSE,TRUE
s102,23,52,1,1,1,0,0,0,0.002999992,3.5904,3,3,0,FALSE,FALSE
s102,24,81,0,1,0,1,0,0,0.002999992,3.1976,2,2,0,FALSE,FALSE
s102,25,76,1,1,0,0,1,1,0.136000023,8.8032,3,2,1,FALSE,TRUE
s102,26,35,1,0,1,1,1,1,0.522000046,7.1378,3,1,2,FALSE,TRUE
s102,27,85,0,1,0,1,1,1,0.233000031,7.6439,3,2,1,FALSE,TRUE
s102,28,68,0,1,1,0,1,0,0.734000015,5.5863,3,1,2,FALSE,TRUE
s102,29,22,0,0,0,0,0,0,0.994000092,2.537,1,0,1,FALSE,FALSE
s102,30,66,0,1,1,0,1,1,0.991000061,4.9363,3,0,3,FALSE,FALSE
s102,31,43,0,0,1,1,0,1,0.41,13.7257,2,1,1,TRUE,TRUE
s102,32,37,1,0,1,1,1,0,0.520999985,5.386,3,2,1,FALSE,TRUE
s102,33,42,0,0,1,0,0,0,0.682000046,4.8512,2,1,1,FALSE,TRUE
s102,34,31,1,0,1,1,0,0,0.719000015,3.3335,2,1,1,FALSE,TRUE
s102,35,11,1,0,0,1,0,0,0.995,4.1987,1,0,1,FALSE,FALSE
s102,36,86,0,1,0,0,1,1,0.797000046,4.6686,3,1,2,FALSE,TRUE
s102,37,13,1,0,0,1,0,1,0.829000092,5.5641,2,1,1,FALSE,TRUE
s102,38,28,0,0,0,0,1,0,0.807000046,3.7402,2,1,1,FALSE,TRUE
s102,39,57,1,1,1,1,1,0,0.871000061,5.4227,3,1,2,FALSE,TRUE
s102,40,47,0,0,1,1,1,0,0.002999992,5.7233,3,3,0,FALSE,FALSE
s102,41,53,1,1,1,1,0,1,0.763000031,5.3843,3,1,2,FALSE,TRUE
